FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,0.269548,0.181144,0,0.806363,0.417835,0.120875,0.137607,0,0.120875,1.93337,1.93337,1352,1352,1352,1352,913,913,913,913
2,0.283228,0.235036,0,0.381267,0.068587,0.038233,0.183424,0,0.159108,1.18978,3.12315,1406,1352,1406,1379,951,913,951,932
3,0.287111,0.253702,0,0.382374,0.083377,0.061344,0.215258,0,0.220452,1.28317,4.40631,1720,1352,1720,1492.67,1112,913,1112,992
4,0.295799,0.311005,0,0.430555,0.105465,0.02058,0.212332,0,0.241032,1.37574,5.78205,1961,1352,1961,1609.75,1236,913,1236,1053
5,0.321241,0.362742,0,0.534388,0.12959,0.019201,0.215158,0,0.260233,1.58232,7.36437,2227,1352,2227,1733.2,1387,913,1387,1119.8
6,0.356403,0.410761,0,0.54833,0.150492,0.02006,0.182055,0,0.280293,1.6681,9.03247,2413,1352,2413,1846.5,1487,913,1487,1181
7,0.390152,0.479962,0,0.553716,0.160311,0.020246,0.351502,0,0.300539,1.95589,10.9884,2635,1352,2635,1959.14,1600,913,1600,1240.86
8,0.401341,0.507644,0,0.580093,0.192347,0.022441,0.448633,0,0.32298,2.1525,13.1409,2771,1352,2771,2060.62,1680,913,1680,1295.75
9,0.439395,0.535162,0,0.60851,0.189531,0.04191,0.387351,0,0.36489,2.20186,15.3427,2812,1352,2812,2144.11,1712,913,1712,1342
10,0.496377,0.556381,0,0.602091,0.192896,0.065205,0.395352,0,0.430095,2.3083,17.651,2886,1352,2886,2218.3,1755,913,1755,1383.3
11,0.469937,0.596612,0,0.604276,0.176107,0.021901,0.307555,0,0.451996,2.17639,19.8274,2819,1352,2886,2272.91,1725,913,1755,1414.36
12,0.473831,0.583422,0,0.641757,0.185547,0.023571,0.358316,0,0.475567,2.26644,22.0939,2880,1352,2886,2323.5,1753,913,1755,1442.58
13,0.476989,0.562284,0,0.609735,0.180857,0.029091,0.319676,0,0.504658,2.17863,24.2725,2762,1352,2886,2357.23,1693,913,1755,1461.85
14,0.473112,0.590953,0,0.635133,0.161262,0.022464,0.398577,0,0.527122,2.2815,26.554,2675,1352,2886,2379.93,1642,913,1755,1474.71
15,0.470865,0.547099,0,0.63357,0.18572,0.022501,0.312387,0,0.549623,2.17214,28.7261,2759,1352,2886,2405.2,1690,913,1755,1489.07
16,0.478325,0.545956,0,0.642718,0.17706,0.044518,0.632752,0,0.594141,2.52133,31.2475,2726,1352,2886,2425.25,1671,913,1755,1500.44
