FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,0.294157,0.190142,0,0.979339,0.428606,0.139506,0.184737,0,0.139506,2.21649,2.21649,1354,1354,1354,1354,897,897,897,897
2,0.292678,0.237465,0,0.390542,0.070028,0.037486,0.202702,0,0.176992,1.2309,3.44739,1569,1354,1569,1461.5,1020,897,1020,958.5
3,0.300387,0.26828,0,0.376748,0.085242,0.060588,0.367174,0,0.23758,1.45842,4.90581,1697,1354,1697,1540,1099,897,1099,1005.33
4,0.307579,0.306966,0,0.412743,0.100135,0.040193,0.246012,0,0.277773,1.41363,6.31943,1920,1354,1920,1635,1218,897,1218,1058.5
5,0.332804,0.349411,0,0.510917,0.110093,0.039423,0.320483,0,0.317196,1.66313,7.98257,1988,1354,1988,1705.6,1259,897,1259,1098.6
6,0.372203,0.367255,0,0.556279,0.1061,0.044388,0.288026,0,0.361584,1.73425,9.71682,1972,1354,1988,1750,1247,897,1259,1123.33
7,0.343673,0.357478,0,0.462551,0.115603,0.020173,0.278949,0,0.381757,1.57843,11.2952,2109,1354,2109,1801.29,1321,897,1321,1151.57
8,0.373666,0.385919,0,0.457941,0.121828,0.040739,0.407844,0,0.422496,1.78794,13.0832,2075,1354,2109,1835.5,1309,897,1321,1171.25
9,0.369005,0.394117,0,0.441904,0.116442,0.063606,0.279937,0,0.486102,1.66501,14.7482,2079,1354,2109,1862.56,1323,897,1323,1188.11
10,0.385382,0.374113,0,0.444438,0.121354,0.058953,0.347816,0,0.545055,1.73206,16.4802,2221,1354,2221,1898.4,1395,897,1395,1208.8
11,0.424952,0.421463,0,0.463547,0.124199,0.020747,0.486681,0,0.565802,1.94159,18.4218,2108,1354,2221,1917.45,1341,897,1395,1220.82
12,0.399474,0.381819,0,0.447868,0.130241,0.042223,0.279021,0,0.608025,1.68065,20.1025,2175,1354,2221,1938.92,1371,897,1395,1233.33
