FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,0.827202,1.27584,0,1.28209,2.65081,0.152493,2.02935,0,0.152493,8.21779,8.21779,11873,11873,11873,11873,6508,6508,6508,6508
2,1.29241,3.40083,0,0.902566,1.49009,0.037319,1.86623,0,0.189812,8.98945,17.2072,13082,11873,13082,12477.5,7130,6508,7130,6819
3,1.75005,3.88312,0,1.08339,1.98534,0.039774,2.62041,0,0.229586,11.3621,28.5693,13406,11873,13406,12787,7291,6508,7291,6976.33
4,1.73687,4.01741,0,1.10452,1.81499,0.039776,2.05379,0,0.269362,10.7674,39.3367,14004,11873,14004,13091.2,7606,6508,7606,7133.75
5,1.7628,4.25053,0,1.11312,2.22933,0.040755,2.84943,0,0.310117,12.246,51.5827,14833,11873,14833,13439.6,8024,6508,8024,7311.8
6,1.83212,4.60235,0,1.14402,2.11395,0.041519,2.37815,0,0.351636,12.1121,63.6948,15247,11873,15247,13740.8,8253,6508,8253,7468.67
7,1.88425,4.8043,0,1.17631,2.87472,0.042074,2.90556,0,0.39371,13.6872,77.382,15133,11873,15247,13939.7,8207,6508,8253,7574.14
8,1.91383,4.61261,0,1.19713,2.45675,0.042896,2.68874,0,0.436606,12.912,90.2939,14869,11873,15247,14055.9,8077,6508,8253,7637
9,1.91306,4.55704,0,1.20077,2.04399,0.04163,2.69842,0,0.478236,12.4549,102.749,14526,11873,15247,14108.1,7901,6508,8253,7666.33
10,1.95465,4.39796,0,1.21509,1.94295,0.04182,2.1627,0,0.520056,11.7152,114.464,14559,11873,15247,14153.2,7919,6508,8253,7691.6
11,2.03012,4.40119,0,1.25203,1.6205,0.042449,2.14867,0,0.562505,11.495,125.959,14707,11873,15247,14203.5,7993,6508,8253,7719
12,2.01616,4.47614,0,1.24396,1.94785,0.042449,2.76402,0,0.604954,12.4906,138.45,14725,11873,15247,14247,8006,6508,8253,7742.92
13,2.01271,4.46336,0,1.24737,1.94984,0.042046,2.13391,0,0.647,11.8492,150.299,14633,11873,15247,14276.7,7955,6508,8253,7759.23
14,2.00223,4.40444,0,1.25327,1.60615,0.042482,2.16084,0,0.689482,11.4694,161.768,14648,11873,15247,14303.2,7966,6508,8253,7774
15,1.96844,4.44252,0,1.24685,1.60312,0.042742,2.16075,0,0.732224,11.4644,173.233,14632,11873,15247,14325.1,7955,6508,8253,7786.07
16,1.95713,4.40608,0,1.24428,1.60402,0.043613,2.72436,0,0.775837,11.9795,185.212,14626,11873,15247,14343.9,7950,6508,8253,7796.31
17,1.96615,4.41231,0,1.25275,1.27281,0.042502,2.10686,0,0.818339,11.0534,196.266,14561,11873,15247,14356.7,7919,6508,8253,7803.53
18,1.92874,4.34873,0,1.23487,1.58529,0.042673,1.60723,0,0.861012,10.7475,207.013,14618,11873,15247,14371.2,7951,6508,8253,7811.72
19,1.93137,4.44989,0,1.2385,1.92578,0.042378,1.56725,0,0.90339,11.1552,218.168,14481,11873,15247,14377,7883,6508,8253,7815.47
20,1.91787,4.37542,0,1.22851,1.89125,0.042087,3.01769,0,0.945477,12.4728,230.641,14401,11873,15247,14378.2,7842,6508,8253,7816.8
21,1.92302,4.28493,0,1.22894,1.54563,0.042429,2.50458,0,0.987906,11.5295,242.171,14295,11873,15247,14374.2,7787,6508,8253,7815.38
22,1.92887,4.29132,0,1.22257,1.81462,0.041874,4.50403,0,1.02978,13.8033,255.974,14115,11873,15247,14362.5,7692,6508,8253,7809.77
23,1.91777,4.25025,0,1.2106,1.48485,0.042165,2.09494,0,1.07194,11.0006,266.974,14075,11873,15247,14350,7669,6508,8253,7803.65
24,1.92398,4.15229,0,1.21974,1.48516,0.042411,1.90581,0,1.11436,10.7294,277.704,14134,11873,15247,14341,7702,6508,8253,7799.42
25,1.91649,4.18634,0,1.21309,1.48376,0.042328,2.09883,0,1.15668,10.9408,288.645,14144,11873,15247,14333.1,7707,6508,8253,7795.72
26,1.92074,4.28998,0,1.21844,1.49125,0.042317,1.34487,0,1.199,10.3076,298.952,14163,11873,15247,14326.5,7715,6508,8253,7792.62
27,1.91453,4.15332,0,1.21505,1.19209,0.043149,2.05461,0,1.24215,10.5728,309.525,14191,11873,15247,14321.5,7732,6508,8253,7790.37
28,1.92274,4.24415,0,1.22413,1.49256,0.042845,2.64283,0,1.28499,11.5693,321.094,14160,11873,15247,14315.8,7713,6508,8253,7787.61
29,1.92784,4.25405,0,1.22358,1.49445,0.043769,2.64322,0,1.32876,11.5869,332.681,14142,11873,15247,14309.8,7703,6508,8253,7784.69
30,1.93779,4.17638,0,1.21982,1.49432,0.042873,1.98014,0,1.37164,10.8513,343.533,14106,11873,15247,14303,7684,6508,8253,7781.33
31,1.96814,4.17643,0,1.22599,1.48491,0.042583,2.51779,0,1.41422,11.4158,354.948,14115,11873,15247,14296.9,7689,6508,8253,7778.35
32,1.97447,4.24976,0,1.23608,1.47717,0.042745,2.47432,0,1.45696,11.4546,366.403,14103,11873,15247,14290.8,7684,6508,8253,7775.41
33,1.99897,4.2221,0,1.23706,1.46843,0.042729,2.29368,0,1.49969,11.263,377.666,14131,11873,15247,14286,7697,6508,8253,7773.03
34,1.99682,4.41402,0,1.23117,1.47706,0.042633,2.01385,0,1.54233,11.1755,388.841,14261,11873,15247,14285.3,7766,6508,8253,7772.82
