FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,0.262312,0.177132,0,0.961571,0.429356,0.129811,0.14824,0,0.129811,2.10842,2.10842,1244,1244,1244,1244,835,835,835,835
2,0.278007,0.215577,0,0.36259,0.068903,0.057847,0.21363,0,0.187658,1.19655,3.30498,1496,1244,1496,1370,983,835,983,909
3,0.299017,0.258687,0,0.367074,0.077996,0.058181,0.313463,0,0.245839,1.37442,4.67939,1513,1244,1513,1417.67,998,835,998,938.667
4,0.308311,0.264361,0,0.389785,0.084063,0.038312,0.215555,0,0.284151,1.30039,5.97978,1732,1244,1732,1496.25,1118,835,1118,983.5
5,0.332103,0.301095,0,0.404262,0.093295,0.061585,0.2293,0,0.345736,1.42164,7.40142,1760,1244,1760,1549,1133,835,1133,1013.4
6,0.329269,0.303641,0,0.427552,0.099636,0.03989,0.232483,0,0.385626,1.43247,8.83389,1816,1244,1816,1593.5,1169,835,1169,1039.33
7,0.351869,0.34364,0,0.422539,0.113107,0.062096,0.356472,0,0.447722,1.64972,10.4836,1983,1244,1983,1649.14,1256,835,1256,1070.29
8,0.343337,0.339994,0,0.412404,0.118687,0.041546,0.259149,0,0.489268,1.51512,11.9987,2201,1244,2201,1718.12,1375,835,1375,1108.38
9,0.388287,0.400441,0,0.448785,0.142143,0.021531,0.235144,0,0.510799,1.63633,13.6351,2257,1244,2257,1778,1401,835,1401,1140.89
10,0.38684,0.427945,0,0.469349,0.153642,0.042064,0.308297,0,0.552863,1.78814,15.4232,2423,1244,2423,1842.5,1482,835,1482,1175
11,0.421952,0.453302,0,0.472505,0.154684,0.021221,0.396163,0,0.574084,1.91983,17.343,2607,1244,2607,1912,1584,835,1584,1212.18
12,0.467035,0.504399,0,0.533198,0.162417,0.068441,0.425177,0,0.642525,2.16067,19.5037,2623,1244,2623,1971.25,1599,835,1599,1244.42
13,0.435034,0.489587,0,0.497617,0.178826,0.043517,0.421953,0,0.686042,2.06653,21.5702,2665,1244,2665,2024.62,1625,835,1625,1273.69
14,0.458156,0.497144,0,0.519183,0.156001,0.071363,0.608512,0,0.757405,2.31036,23.8806,2665,1244,2665,2070.36,1628,835,1628,1299
15,0.43501,0.521535,0,0.550983,0.164675,0.041946,0.652721,0,0.799351,2.36687,26.2475,2512,1244,2665,2099.8,1553,835,1628,1315.93
16,0.458625,0.496096,0,0.500143,0.142407,0.094818,0.638233,0,0.894169,2.33032,28.5778,2527,1244,2665,2126.5,1556,835,1628,1330.94
17,0.456805,0.47996,0,0.479493,0.15031,0.068682,0.322156,0,0.962851,1.95741,30.5352,2496,1244,2665,2148.24,1538,835,1628,1343.12
18,0.427931,0.475616,0,0.499538,0.165892,0.044233,0.498145,0,1.00708,2.11135,32.6465,2460,1244,2665,2165.56,1526,835,1628,1353.28
19,0.408186,0.440697,0,0.511565,0.153422,0.064588,0.293231,0,1.07167,1.87169,34.5182,2454,1244,2665,2180.74,1520,835,1628,1362.05
20,0.422925,0.464324,0,0.48689,0.150766,0.021259,0.272448,0,1.09293,1.81861,36.3368,2432,1244,2665,2193.3,1513,835,1628,1369.6
21,0.43323,0.430863,0,0.470345,0.147154,0.041986,0.56051,0,1.13492,2.08409,38.4209,2417,1244,2665,2203.95,1507,835,1628,1376.14
22,0.456927,0.462643,0,0.483692,0.137986,0.044363,0.360386,0,1.17928,1.946,40.3669,2339,1244,2665,2210.09,1462,835,1628,1380.05
23,0.430026,0.454749,0,0.474531,0.130165,0.044655,0.349905,0,1.22393,1.88403,42.251,2354,1244,2665,2216.35,1467,835,1628,1383.83
24,0.45111,0.442842,0,0.478045,0.127153,0.043593,0.233838,0,1.26753,1.77658,44.0275,2278,1244,2665,2218.92,1431,835,1628,1385.79
25,0.435545,0.413184,0,0.461738,0.127271,0.021574,0.316848,0,1.2891,1.77616,45.8037,2452,1244,2665,2228.24,1524,835,1628,1391.32
26,0.413073,0.448334,0,0.450368,0.145085,0.043606,0.303207,0,1.33271,1.80367,47.6074,2395,1244,2665,2234.65,1497,835,1628,1395.38
27,0.449511,0.442278,0,0.472881,0.150252,0.043558,0.417627,0,1.37627,1.97611,49.5835,2475,1244,2665,2243.56,1524,835,1628,1400.15
28,0.425904,0.457096,0,0.486773,0.149503,0.08853,0.436123,0,1.4648,2.04393,51.6274,2534,1244,2665,2253.93,1560,835,1628,1405.86
29,0.473389,0.495678,0,0.482613,0.16684,0.044388,0.362466,0,1.50918,2.02537,53.6528,2604,1244,2665,2266,1603,835,1628,1412.66
30,0.456628,0.508026,0,0.477711,0.171556,0.043459,0.442625,0,1.55264,2.1,55.7528,2634,1244,2665,2278.27,1615,835,1628,1419.4
31,0.465363,0.548473,0,0.506678,0.172846,0.044828,0.343548,0,1.59747,2.08174,57.8345,2685,1244,2685,2291.39,1640,835,1640,1426.52
32,0.483954,0.505468,0,0.501979,0.165115,0.042868,0.353162,0,1.64034,2.05255,59.8871,2652,1244,2685,2302.66,1623,835,1640,1432.66
33,0.468306,0.528933,0,0.490173,0.162203,0.024855,0.343445,0,1.66519,2.01791,61.905,2664,1244,2685,2313.61,1636,835,1640,1438.82
34,0.461785,0.537245,0,0.507242,0.162378,0.069374,0.63615,0,1.73457,2.37417,64.2792,2720,1244,2720,2325.56,1668,835,1668,1445.56
35,0.485087,0.533527,0,0.502175,0.171901,0.046845,0.354007,0,1.78141,2.09354,66.3727,2719,1244,2720,2336.8,1660,835,1668,1451.69
36,0.492297,0.522147,0,0.50278,0.17738,0.021484,0.442212,0,1.8029,2.1583,68.531,2832,1244,2832,2350.56,1721,835,1721,1459.17
37,0.487682,0.55245,0,0.502671,0.180206,0.022037,0.582472,0,1.82493,2.32752,70.8585,2843,1244,2843,2363.86,1732,835,1732,1466.54
38,0.519386,0.594462,0,0.510395,0.169273,0.025811,0.307236,0,1.85075,2.12656,72.9851,2793,1244,2843,2375.16,1701,835,1732,1472.71
39,0.488248,0.562769,0,0.507378,0.169332,0.021607,0.302518,0,1.87235,2.05185,75.0369,2766,1244,2843,2385.18,1684,835,1732,1478.13
40,0.512025,0.563534,0,0.505118,0.154831,0.0222,0.514192,0,1.89455,2.2719,77.3088,2815,1244,2843,2395.93,1711,835,1732,1483.95
41,0.48506,0.592233,0,0.490479,0.152719,0.024062,0.378779,0,1.91861,2.12333,79.4322,2787,1244,2843,2405.46,1704,835,1732,1489.32
42,0.489144,0.573932,0,0.520467,0.15383,0.042844,0.405583,0,1.96146,2.1858,81.618,2778,1244,2843,2414.33,1707,835,1732,1494.5
43,0.523226,0.559131,0,0.544081,0.164582,0.026445,0.598744,0,1.9879,2.41621,84.0342,2780,1244,2843,2422.84,1712,835,1732,1499.56
44,0.470798,0.565435,0,0.505161,0.172214,0.09396,0.384487,0,2.08186,2.19206,86.2262,2825,1244,2843,2431.98,1738,835,1738,1504.98
45,0.508463,0.594368,0,0.523982,0.175043,0.021804,0.485879,0,2.10367,2.30954,88.5358,2816,1244,2843,2440.51,1727,835,1738,1509.91
46,0.490095,0.578297,0,0.4996,0.179463,0.049948,0.395854,0,2.15362,2.19326,90.729,2892,1244,2892,2450.33,1770,835,1770,1515.57
47,0.489625,0.611997,0,0.525753,0.186233,0.021802,0.390374,0,2.17542,2.22578,92.9548,2772,1244,2892,2457.17,1709,835,1770,1519.68
48,0.502746,0.586149,0,0.512477,0.154017,0.046289,0.439174,0,2.22171,2.24085,95.1957,2792,1244,2892,2464.15,1722,835,1770,1523.9
49,0.472504,0.58855,0,0.535206,0.168899,0.022883,0.581146,0,2.24459,2.36919,97.5648,2946,1244,2946,2473.98,1800,835,1800,1529.53
50,0.497883,0.610463,0,0.547446,0.1651,0.023685,0.332242,0,2.26827,2.17682,99.7417,2895,1244,2946,2482.4,1772,835,1800,1534.38
51,0.480509,0.614668,0,0.526131,0.17014,0.043877,0.380443,0,2.31215,2.21577,101.957,2944,1244,2946,2491.45,1798,835,1800,1539.55
52,0.485858,0.604107,0,0.519,0.178293,0.021803,0.393094,0,2.33395,2.20216,104.16,2933,1244,2946,2499.94,1802,835,1802,1544.6
53,0.484612,0.618064,0,0.534431,0.16708,0.022389,0.401359,0,2.35634,2.22793,106.388,3083,1244,3083,2510.94,1871,835,1871,1550.75
54,0.498831,0.648238,0,0.513184,0.190187,0.021333,0.410181,0,2.37768,2.28195,108.669,2988,1244,3083,2519.78,1823,835,1871,1555.8
55,0.4825,0.639345,0,0.512507,0.168309,0.078834,0.530535,0,2.45651,2.41203,111.082,3172,1244,3172,2531.64,1913,835,1913,1562.29
56,0.502804,0.675702,0,0.533727,0.196905,0.047102,0.455803,0,2.50361,2.41204,113.494,3149,1244,3172,2542.66,1899,835,1913,1568.3
57,0.527698,0.669679,0,0.529276,0.194638,0.054035,0.496123,0,2.55765,2.47145,115.965,3218,1244,3218,2554.51,1947,835,1947,1574.95
58,0.513635,0.70389,0,0.554107,0.190368,0.021864,0.595282,0,2.57951,2.57915,118.544,3167,1244,3218,2565.07,1913,835,1947,1580.78
59,0.49642,0.673612,0,0.548621,0.203025,0.048554,0.846214,0,2.62807,2.81645,121.361,3262,1244,3262,2576.88,1970,835,1970,1587.37
60,0.521311,0.716553,0,0.541828,0.200763,0.029854,0.478756,0,2.65792,2.48907,123.85,3316,1244,3316,2589.2,1995,835,1995,1594.17
61,0.522133,0.695783,0,0.558033,0.192506,0.023696,0.682943,0,2.68162,2.67509,126.525,3326,1244,3326,2601.28,1996,835,1996,1600.75
62,0.508922,0.718306,0,0.53013,0.193505,0.021949,0.806769,0,2.70356,2.77958,129.304,3346,1244,3346,2613.29,1998,835,1998,1607.16
63,0.492826,0.710772,0,0.526384,0.219345,0.024846,0.770397,0,2.72841,2.74457,132.049,3383,1244,3383,2625.51,2015,835,2015,1613.63
64,0.512285,0.724358,0,0.56426,0.19434,0.023348,0.380065,0,2.75176,2.39866,134.448,3420,1244,3420,2637.92,2034,835,2034,1620.2
65,0.497082,0.750255,0,0.560304,0.193248,0.023465,0.474494,0,2.77522,2.49885,136.946,3458,1244,3458,2650.54,2058,835,2058,1626.94
66,0.487552,0.739271,0,0.563058,0.205505,0.022467,0.451596,0,2.79769,2.46945,139.416,3483,1244,3483,2663.15,2063,835,2063,1633.55
67,0.501327,0.722244,0,0.567252,0.202874,0.022756,0.533509,0,2.82045,2.54996,141.966,3553,1244,3553,2676.43,2100,835,2100,1640.51
68,0.496734,0.7585,0,0.558475,0.224093,0.048715,0.876986,0,2.86916,2.9635,144.929,3542,1244,3553,2689.16,2101,835,2101,1647.28
69,0.522926,0.761393,0,0.566331,0.208497,0.024166,0.73649,0,2.89333,2.8198,147.749,3612,1244,3612,2702.54,2129,835,2129,1654.26
70,0.499833,0.740914,0,0.569715,0.232693,0.024055,0.509556,0,2.91738,2.57677,150.326,3639,1244,3639,2715.91,2149,835,2149,1661.33
71,0.509945,0.79035,0,0.552366,0.228795,0.023319,0.632204,0,2.9407,2.73698,153.063,3708,1244,3708,2729.89,2183,835,2183,1668.68
72,0.490538,0.778605,0,0.562248,0.21904,0.024938,0.42315,0,2.96564,2.49852,155.561,3671,1244,3708,2742.96,2164,835,2183,1675.56
73,0.504386,0.804572,0,0.589419,0.243032,0.053445,0.68078,0,3.01908,2.87563,158.437,3740,1244,3740,2756.62,2201,835,2201,1682.75
74,0.526377,0.819699,0,0.581749,0.243873,0.023607,0.631607,0,3.04269,2.82691,161.264,3792,1244,3792,2770.61,2227,835,2227,1690.11
75,0.508483,0.821302,0,0.589462,0.252237,0.024103,0.653711,0,3.06679,2.8493,164.113,3822,1244,3822,2784.63,2240,835,2240,1697.44
76,0.522798,0.819759,0,0.592131,0.222835,0.024208,0.450992,0,3.091,2.63272,166.746,3765,1244,3822,2797.53,2208,835,2240,1704.16
77,0.514312,0.830849,0,0.589654,0.225904,0.0488,0.580732,0,3.1398,2.79025,169.536,3709,1244,3822,2809.36,2174,835,2240,1710.26
