FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,0.284468,0.176549,0,0.839044,0.399678,0.109041,0.133842,0,0.109041,1.94262,1.94262,1189,1189,1189,1189,803,803,803,803
2,0.273416,0.209764,0,0.364639,0.063886,0.055769,0.172645,0,0.16481,1.14012,3.08274,1328,1189,1328,1258.5,881,803,881,842
3,0.295672,0.230705,0,0.381271,0.076919,0.0575,0.324658,0,0.22231,1.36673,4.44947,1591,1189,1591,1369.33,1021,803,1021,901.667
4,0.308742,0.282013,0,0.38098,0.088002,0.038216,0.347213,0,0.260526,1.44517,5.89463,1833,1189,1833,1485.25,1162,803,1162,966.75
5,0.31251,0.347287,0,0.516059,0.108926,0.038817,0.265417,0,0.299343,1.58902,7.48365,2038,1189,2038,1595.8,1279,803,1279,1029.2
6,0.342614,0.38976,0,0.554622,0.124379,0.058253,0.242156,0,0.357596,1.71178,9.19543,1966,1189,2038,1657.5,1246,803,1279,1065.33
7,0.376664,0.379841,0,0.547854,0.126488,0.020158,0.235319,0,0.377754,1.68632,10.8818,2312,1189,2312,1751,1431,803,1431,1117.57
8,0.419921,0.417866,0,0.578207,0.146562,0.041727,0.259109,0,0.419481,1.86339,12.7451,2492,1189,2492,1843.62,1545,803,1545,1171
9,0.428468,0.477704,0,0.501911,0.15555,0.044008,0.308039,0,0.463489,1.91568,14.6608,2583,1189,2583,1925.78,1583,803,1583,1216.78
10,0.427622,0.493579,0,0.533232,0.187305,0.083656,0.403461,0,0.547145,2.12886,16.7897,2623,1189,2623,1995.5,1602,803,1602,1255.3
11,0.470318,0.490815,0,0.643762,0.169281,0.024542,0.485793,0,0.571687,2.28451,19.0742,2751,1189,2751,2064.18,1673,803,1673,1293.27
12,0.445892,0.537577,0,0.6328,0.208126,0.022721,0.302794,0,0.594408,2.14991,21.2241,3053,1189,3053,2146.58,1827,803,1827,1337.75
13,0.494721,0.626639,0,0.559111,0.233014,0.069979,0.410882,0,0.664387,2.39435,23.6184,3027,1189,3053,2214.31,1814,803,1827,1374.38
14,0.502297,0.590882,0,0.553931,0.201945,0.071932,0.40137,0,0.736319,2.32236,25.9408,2975,1189,3053,2268.64,1781,803,1827,1403.43
15,0.539292,0.597287,0,0.648084,0.213027,0.046256,0.402829,0,0.782575,2.44677,28.3876,2994,1189,3053,2317,1807,803,1827,1430.33
16,0.504345,0.586268,0,0.603597,0.204663,0.04307,0.31223,0,0.825645,2.25417,30.6418,2992,1189,3053,2359.19,1800,803,1827,1453.44
17,0.510475,0.581014,0,0.636212,0.178557,0.044555,0.325773,0,0.8702,2.27659,32.9183,3054,1189,3054,2400.06,1833,803,1833,1475.76
18,0.489543,0.611864,0,0.646349,0.198158,0.047739,0.463147,0,0.917939,2.4568,35.3751,2961,1189,3054,2431.22,1784,803,1833,1492.89
19,0.464438,0.588517,0,0.508385,0.227929,0.081437,0.361979,0,0.999376,2.23268,37.6078,3195,1189,3195,2471.42,1914,803,1914,1515.05
20,0.495298,0.640504,0,0.539814,0.229566,0.023254,0.415729,0,1.02263,2.34416,39.952,3036,1189,3195,2499.65,1828,803,1914,1530.7
