FrameNum,Proximity,Physics,StrainLimiting,Collision,Remeshing,Separation,PopFilter,Plasticity,CumSeparation,Time/Frame,CumTime,Faces,MinFaces,MaxFaces,AvgFaces,Verts,MinVerts,MaxVerts,AvgVerts
1,0.263577,0.165448,0,0.882613,0.402922,0.104841,0.192114,0,0.104841,2.01152,2.01152,1313,1313,1313,1313,870,870,870,870
2,0.301672,0.222604,0,0.388832,0.071964,0.037943,0.21384,0,0.142784,1.23685,3.24837,1456,1313,1456,1384.5,952,870,952,911
3,0.3084,0.252719,0,0.381149,0.079226,0.059924,0.167457,0,0.202708,1.24887,4.49724,1665,1313,1665,1478,1071,870,1071,964.333
4,0.305406,0.288496,0,0.394789,0.089508,0.038108,0.233273,0,0.240816,1.34958,5.84682,1921,1313,1921,1588.75,1202,870,1202,1023.75
5,0.327324,0.346418,0,0.401515,0.122747,0.050141,0.264892,0,0.290957,1.51304,7.35986,2154,1313,2154,1701.8,1341,870,1341,1087.2
6,0.377458,0.405842,0,0.446107,0.128917,0.042127,0.283329,0,0.333084,1.68378,9.04364,2241,1313,2241,1791.67,1389,870,1389,1137.5
7,0.420985,0.458734,0,0.473956,0.146963,0.059449,0.352656,0,0.392533,1.91274,10.9564,2402,1313,2402,1878.86,1478,870,1478,1186.14
8,0.427082,0.46726,0,0.461363,0.147426,0.021485,0.248528,0,0.414018,1.77314,12.7295,2396,1313,2402,1943.5,1471,870,1478,1221.75
9,0.44088,0.442744,0,0.485805,0.146517,0.042539,0.312181,0,0.456557,1.87067,14.6002,2429,1313,2429,1997.44,1495,870,1495,1252.11
10,0.43436,0.436918,0,0.445848,0.145867,0.10984,0.278595,0,0.566397,1.85143,16.4516,2227,1313,2429,2020.4,1389,870,1495,1265.8
11,0.442281,0.41728,0,0.466058,0.139282,0.021284,0.366495,0,0.587681,1.85268,18.3043,2417,1313,2429,2056.45,1498,870,1498,1286.91
12,0.461265,0.473144,0,0.507236,0.151961,0.045278,0.324243,0,0.632959,1.96313,20.2674,2512,1313,2512,2094.42,1549,870,1549,1308.75
13,0.474508,0.534389,0,0.52039,0.159157,0.066658,0.389947,0,0.699617,2.14505,22.4125,2532,1313,2532,2128.08,1562,870,1562,1328.23
14,0.455654,0.469877,0,0.497445,0.162532,0.041643,0.437767,0,0.74126,2.06492,24.4774,2473,1313,2532,2152.71,1534,870,1562,1342.93
15,0.456516,0.464154,0,0.514753,0.150306,0.044792,0.267975,0,0.786052,1.8985,26.3759,2425,1313,2532,2170.87,1503,870,1562,1353.6
16,0.408308,0.464925,0,0.468017,0.157624,0.061437,0.396395,0,0.847489,1.95671,28.3326,2378,1313,2532,2183.81,1486,870,1562,1361.88
17,0.446356,0.457109,0,0.485294,0.156624,0.021374,0.432361,0,0.868863,1.99912,30.3317,2509,1313,2532,2202.94,1545,870,1562,1372.65
18,0.414782,0.48188,0,0.464713,0.15093,0.021419,0.249776,0,0.890282,1.7835,32.1152,2476,1313,2532,2218.11,1531,870,1562,1381.44
19,0.458268,0.472099,0,0.502801,0.140076,0.10961,0.360228,0,0.999892,2.04308,34.1583,2520,1313,2532,2234,1562,870,1562,1390.95
20,0.456857,0.524797,0,0.519841,0.151341,0.020753,0.362086,0,1.02064,2.03568,36.194,2477,1313,2532,2246.15,1541,870,1562,1398.45
21,0.433386,0.464291,0,0.499876,0.174996,0.051906,0.322856,0,1.07255,1.94731,38.1413,2511,1313,2532,2258.76,1559,870,1562,1406.1
22,0.455681,0.50849,0,0.499711,0.152846,0.068447,0.399538,0,1.141,2.08471,40.226,2502,1313,2532,2269.82,1551,870,1562,1412.68
23,0.42092,0.461596,0,0.470873,0.138578,0.045579,0.266643,0,1.18658,1.80419,42.0302,2367,1313,2532,2274.04,1482,870,1562,1415.7
24,0.43516,0.447691,0,0.472219,0.152113,0.023401,0.310953,0,1.20998,1.84154,43.8717,2400,1313,2532,2279.29,1496,870,1562,1419.04
25,0.417532,0.445229,0,0.47287,0.141502,0.042786,0.295871,0,1.25276,1.81579,45.6875,2377,1313,2532,2283.2,1482,870,1562,1421.56
26,0.413781,0.430499,0,0.459358,0.139869,0.022257,0.33954,0,1.27502,1.8053,47.4928,2278,1313,2532,2283,1430,870,1562,1421.88
27,0.41628,0.454841,0,0.459455,0.126355,0.042181,0.255056,0,1.3172,1.75417,49.247,2364,1313,2532,2286,1472,870,1562,1423.74
28,0.414355,0.434329,0,0.461509,0.130126,0.04174,0.260358,0,1.35894,1.74242,50.9894,2358,1313,2532,2288.57,1475,870,1562,1425.57
29,0.421402,0.427647,0,0.46606,0.141623,0.150467,0.32343,0,1.50941,1.93063,52.92,2384,1313,2532,2291.86,1486,870,1562,1427.66
30,0.436262,0.45926,0,0.471663,0.137792,0.041418,0.30428,0,1.55083,1.85067,54.7707,2377,1313,2532,2294.7,1482,870,1562,1429.47
31,0.429386,0.446383,0,0.470532,0.14065,0.112084,0.359716,0,1.66291,1.95875,56.7295,2419,1313,2532,2298.71,1512,870,1562,1432.13
32,0.452035,0.467026,0,0.471204,0.157028,0.041031,0.366738,0,1.70394,1.95506,58.6845,2473,1313,2532,2304.16,1546,870,1562,1435.69
33,0.425425,0.453277,0,0.468172,0.149351,0.04336,0.386405,0,1.7473,1.92599,60.6105,2524,1313,2532,2310.82,1572,870,1572,1439.82
